"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","ie.ucd.sensetile.sensorboard","src/ie/ucd/sensetile/sensorboard/Driver.java","3","26","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"2","ie.ucd.sensetile.sensorboard","src/ie/ucd/sensetile/sensorboard/Driver.java","3","32","Parameter 'deviceNumber' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"3","ie.ucd.sensetile.sensorboard","src/ie/ucd/sensetile/sensorboard/Packet.java","3","5","Avoid modifiers which are implied by the context","Controversial Rules","UnusedModifier"
"4","ie.ucd.sensetile.sensorboard","src/ie/ucd/sensetile/sensorboard/PacketInputStream.java","4","3","Avoid unused imports such as 'java.io.EOFException'","Type Resolution Rules","UnusedImports"
"5","ie.ucd.sensetile.sensorboard","src/ie/ucd/sensetile/sensorboard/PacketInputStream.java","4","3","Avoid unused imports such as 'java.io.EOFException'","Type Resolution Rules","UnusedImports"
"6","ie.ucd.sensetile.sensorboard","src/ie/ucd/sensetile/sensorboard/PacketInputStream.java","3","16","Avoid modifiers which are implied by the context","Controversial Rules","UnusedModifier"
"7","ie.ucd.sensetile.sensorboard","src/ie/ucd/sensetile/sensorboard/PacketInputStream.java","3","31","Avoid modifiers which are implied by the context","Controversial Rules","UnusedModifier"
"8","ie.ucd.sensetile.sensorboard","src/ie/ucd/sensetile/sensorboard/PacketInputStream.java","3","54","Avoid modifiers which are implied by the context","Controversial Rules","UnusedModifier"
"9","ie.ucd.sensetile.sensorboard","src/ie/ucd/sensetile/sensorboard/PacketInputStream.java","3","76","Avoid modifiers which are implied by the context","Controversial Rules","UnusedModifier"
"10","ie.ucd.sensetile.sensorboard","src/ie/ucd/sensetile/sensorboard/PacketInputStream.java","3","101","Avoid modifiers which are implied by the context","Controversial Rules","UnusedModifier"
"11","ie.ucd.sensetile.sensorboard","src/ie/ucd/sensetile/sensorboard/SenseTileException.java","3","15","Parameter 'innerException' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"12","ie.ucd.sensetile.sensorboard","src/ie/ucd/sensetile/sensorboard/SenseTileException.java","3","15","Parameter 'message' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"13","ie.ucd.sensetile.sensorboard","src/ie/ucd/sensetile/sensorboard/SenseTileException.java","3","19","Parameter 'message' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"14","ie.ucd.sensetile.sensorboard","src/ie/ucd/sensetile/sensorboard/SenseTileException.java","3","23","Parameter 'innerException' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"15","ie.ucd.sensetile.sensorboard.driver","src/ie/ucd/sensetile/sensorboard/driver/ByteArrayPacket.java","3","17","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"16","ie.ucd.sensetile.sensorboard.driver","src/ie/ucd/sensetile/sensorboard/driver/ByteArrayPacket.java","3","23","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"17","ie.ucd.sensetile.sensorboard.driver","src/ie/ucd/sensetile/sensorboard/driver/ByteArrayPacket.java","3","25","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"18","ie.ucd.sensetile.sensorboard.driver","src/ie/ucd/sensetile/sensorboard/driver/ByteArrayPacket.java","3","27","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"19","ie.ucd.sensetile.sensorboard.driver","src/ie/ucd/sensetile/sensorboard/driver/ByteArrayPacket.java","3","27","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"20","ie.ucd.sensetile.sensorboard.driver","src/ie/ucd/sensetile/sensorboard/driver/ByteArrayPacket.java","3","29","Parameter 'raw' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"21","ie.ucd.sensetile.sensorboard.driver","src/ie/ucd/sensetile/sensorboard/driver/ByteArrayPacket.java","3","35","Parameter 'previousPacket' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"22","ie.ucd.sensetile.sensorboard.driver","src/ie/ucd/sensetile/sensorboard/driver/ByteArrayPacket.java","3","37","Local variable 'packet' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"23","ie.ucd.sensetile.sensorboard.driver","src/ie/ucd/sensetile/sensorboard/driver/ByteArrayPacket.java","3","44","Local variable 'raw' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"24","ie.ucd.sensetile.sensorboard.driver","src/ie/ucd/sensetile/sensorboard/driver/ByteArrayPacket.java","3","49","Parameter 'raw' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"25","ie.ucd.sensetile.sensorboard.driver","src/ie/ucd/sensetile/sensorboard/driver/ByteArrayPacket.java","3","50","Parameter 'previousPacket' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
