
src/ie/ucd/sensetile/BytePattern.java:20	Document empty constructor
src/ie/ucd/sensetile/BytePattern.java:71	Found 'DD'-anomaly for variable 'index' (lines '71'-'76').
src/ie/ucd/sensetile/BytePattern.java:71	Found 'DD'-anomaly for variable 'index' (lines '71'-'79').
src/ie/ucd/sensetile/BytePattern.java:102	Found 'DU'-anomaly for variable 'match_count' (lines '102'-'120').
src/ie/ucd/sensetile/BytePattern.java:115	Found 'DU'-anomaly for variable 'match_count' (lines '115'-'120').
src/ie/ucd/sensetile/BytePattern.java:124	Found 'DU'-anomaly for variable 'patternIndex' (lines '124'-'137').
src/ie/ucd/sensetile/BytePattern.java:129	Found 'DD'-anomaly for variable 'dataIndex' (lines '129'-'132').
src/ie/ucd/sensetile/BytePattern.java:133	Found 'DU'-anomaly for variable 'patternIndex' (lines '133'-'137').
src/ie/ucd/sensetile/SBDriver.java:8	Found non-transient, non-static member. Please mark as transient or provide accessors.
src/ie/ucd/sensetile/SBDriver.java:8	Private field 'device' could be made final; it is only initialized in the declaration or constructor.
src/ie/ucd/sensetile/SBDriver.java:10	Parameter 'device' is not assigned and could be declared final
src/ie/ucd/sensetile/SBDriver.java:26	Parameter 'byte_array' is not assigned and could be declared final
src/ie/ucd/sensetile/SBPacket.java:3	All methods are static.  Consider using Singleton instead.  Alternatively, you could add a private constructor or make the class abstract to silence this warning.
src/ie/ucd/sensetile/SBPacket.java:5	Avoid unused constructor parameters such as 'bs'.
src/ie/ucd/sensetile/SBPacket.java:5	Avoid variables with short names like bs
src/ie/ucd/sensetile/SBPacket.java:5	Parameter 'bs' is not assigned and could be declared final
src/ie/ucd/sensetile/SBPacket.java:9	Avoid variables with short names like bs
src/ie/ucd/sensetile/SBPacket.java:9	Parameter 'bs' is not assigned and could be declared final
src/ie/ucd/sensetile/SBPacket.java:9	Parameter 'previousPacket' is not assigned and could be declared final
src/ie/ucd/sensetile/SBPacket.java:14	Avoid unused method parameters such as 'bs'.
src/ie/ucd/sensetile/SBPacket.java:14	Avoid unused method parameters such as 'previousPacket'.
src/ie/ucd/sensetile/SBPacket.java:14	Avoid variables with short names like bs
src/ie/ucd/sensetile/SBPacket.java:14	Document empty method
src/ie/ucd/sensetile/SBPacket.java:14	Parameter 'bs' is not assigned and could be declared final
src/ie/ucd/sensetile/SBPacket.java:14	Parameter 'previousPacket' is not assigned and could be declared final
test/src/com/ftdichip/ftd2xx/ServiceTest.java:3	Avoid unused imports such as 'org.junit.Assert'
test/src/com/ftdichip/ftd2xx/ServiceTest.java:11	JUnit assertions should include a message
test/src/ie/ucd/sensetile/BytePatternTest.java:3	Avoid unused imports such as 'org.junit.Assert'
test/src/ie/ucd/sensetile/BytePatternTest.java:9	This class has too many methods, consider refactoring it.
test/src/ie/ucd/sensetile/BytePatternTest.java:12	Document empty method
test/src/ie/ucd/sensetile/BytePatternTest.java:16	Document empty method
test/src/ie/ucd/sensetile/BytePatternTest.java:21	Local variable 'dataPattern' could be declared final
test/src/ie/ucd/sensetile/BytePatternTest.java:22	Local variable 'pattern' could be declared final
test/src/ie/ucd/sensetile/BytePatternTest.java:23	JUnit assertions should include a message
test/src/ie/ucd/sensetile/BytePatternTest.java:28	Local variable 'dataPattern' could be declared final
test/src/ie/ucd/sensetile/BytePatternTest.java:34	Local variable 'dataPattern' could be declared final
test/src/ie/ucd/sensetile/BytePatternTest.java:40	Local variable 'dataPattern' could be declared final
test/src/ie/ucd/sensetile/BytePatternTest.java:44	JUnit assertions should include a message
test/src/ie/ucd/sensetile/BytePatternTest.java:53	JUnit assertions should include a message
test/src/ie/ucd/sensetile/BytePatternTest.java:55	JUnit assertions should include a message
test/src/ie/ucd/sensetile/BytePatternTest.java:63	JUnit assertions should include a message
test/src/ie/ucd/sensetile/SBDriverTest.java:15	Found non-transient, non-static member. Please mark as transient or provide accessors.
test/src/ie/ucd/sensetile/SBDriverTest.java:15	Perhaps 'context' could be replaced by a local variable.
test/src/ie/ucd/sensetile/SBDriverTest.java:16	Found non-transient, non-static member. Please mark as transient or provide accessors.
test/src/ie/ucd/sensetile/SBDriverTest.java:17	Avoid unused private fields such as 'driver'.
test/src/ie/ucd/sensetile/SBDriverTest.java:17	Found non-transient, non-static member. Please mark as transient or provide accessors.
test/src/ie/ucd/sensetile/SBDriverTest.java:17	Perhaps 'driver' could be replaced by a local variable.
test/src/ie/ucd/sensetile/SBDriverTest.java:26	Non-static initializers are confusing
test/src/ie/ucd/sensetile/SBDriverTest.java:33	Document empty method
test/src/ie/ucd/sensetile/SBDriverTest.java:37	JUnit tests should include assert() or fail()
test/src/ie/ucd/sensetile/SBPacketTest.java:9	JUnit tests should include assert() or fail()
